query,page,clicks,impressions,ctr,position
cannabis emporium,https://potshops.ca/listing/nelson-potorium/,0,1,0,8
cannabis express,https://potshops.ca/listing/cannabis-express/,0,1,0,20
cannabis express near me,https://potshops.ca/listing/cannabis-express/,0,1,0,69
cannabis for life,https://potshops.ca/listing/cannabis-for-life/,0,1,0,5
cannabis fredericton,https://potshops.ca/location/fredericton/,0,1,0,67
cannabis halifax,https://potshops.ca/listing/the-green-leaf-society/,0,1,0,83
cannabis ice cream near me,https://potshops.ca/location/calgary/,0,2,0,7
cannabis jack's,https://potshops.ca/listing/cannabis-jacks-medicinals/,0,2,0,8.5
cannabis kitsilano,https://potshops.ca/listing/lotusland-cannabis-club-kitsilano/,0,1,0,29
cannabis klub,https://potshops.ca/listing/kushklub/,0,2,0,10.5
cannabis london ontario,https://potshops.ca/listing/healing-health-compassion/,0,1,0,41
cannabis mary jane,https://potshops.ca/listing/mary-janes-2/,0,1,0,98
cannabis nb fredericton,https://potshops.ca/location/fredericton/,0,11,0,70.0909090909091
cannabis port alberni,https://potshops.ca/listing/the-port-alberni-cannabis-club/,0,4,0,46.5
cannabis restigouche,https://potshops.ca/location/fredericton/,0,1,0,10
cannabis society,https://potshops.ca/listing/the-green-leaf-society/,0,2,0,39
cannabis specialist doctor,https://potshops.ca/category/doctor/,0,4,0,101
cannabis store dartmouth,https://potshops.ca/location/dartmouth/,0,1,0,77
cannabis store fredericton,https://potshops.ca/location/fredericton/,0,1,0,56
cannabis store near me,https://potshops.ca/listing/green-era-medicinal/,0,1,0,10
cannabis store near me,https://potshops.ca/listing/maritime-medicinal/,0,1,0,11
cannabis store near me open now,https://potshops.ca/listing/green-era-medicinal/,0,1,0,4
cannabis stores halifax,https://potshops.ca/listing/the-green-leaf-society/,0,3,0,79.33333333333333
cannabis stores orangeville,https://potshops.ca/listing/the-altered-native/,0,1,0,68
cannabisculture,https://potshops.ca/listing/cannabis-culture-920-davie/,0,2,0,48
cannabliss,https://potshops.ca/listing/cannabliss/,0,2,0,55
cannabliss dispensary,https://potshops.ca/listing/cannabliss/,0,3,0,31.666666666666668
cannadas,https://potshops.ca/listing/cannadas-culture/,0,24,0,6.75
cannader,https://potshops.ca/listing/cannadas-culture/,0,1,0,8
cannafarm,https://potshops.ca/listing/canna-farms-ltd/,0,2,0,49
cannafarms,https://potshops.ca/listing/canna-farms-ltd/,0,13,0,36.30769230769231
cannaleaf pens reviews,https://potshops.ca/listing/green-leaf/,0,1,0,66
cannalife botanicals,https://potshops.ca/listing/cannabis-culture-920-davie/,0,1,0,74
cannamed,https://potshops.ca/listing/bc-cannamed-kensington/,0,1,0,53
cannamed dispensary,https://potshops.ca/listing/bc-cannamed-kensington/,0,8,0,15.25
cannamobile,https://potshops.ca/category/in-town-delivery/,0,1,0,71
cannamobile,https://potshops.ca/listing/cannamobile-2/,0,5,0,22.4
cannamobile calgary,https://potshops.ca/category/in-town-delivery/,0,1,0,64
cannamobile vancouver,https://potshops.ca/category/in-town-delivery/,0,1,0,40
cannapy,https://potshops.ca/listing/coastal-cannapy/,0,7,0,65.28571428571429
cannibis culture,https://potshops.ca/listing/cannabis-culture-920-davie/,0,26,0,73.73076923076923
cbd capsules in fort macleod,https://potshops.ca/listing/rocky-mountain-cannabis-club/,0,3,0,84
cbd oil halifax,https://potshops.ca/listing/the-green-leaf-society/,0,10,0,75.1
cbd topicals in fort macleod,https://potshops.ca/listing/rocky-mountain-cannabis-club/,0,9,0,76.55555555555556
cbg where to buy,https://potshops.ca/listing/the-green-leaf-society/,0,1,0,10
chemainus dispensary,https://potshops.ca/listing/green-aura/,0,1,0,22
chronic releaf,https://potshops.ca/listing/chronic-releaf-medical-dispensary/,0,1,0,10
clone canada,https://potshops.ca/listing/clone-corner/,0,76,0,58.9078947368421
clones bc,https://potshops.ca/listing/clone-corner/,0,1,0,96
clones canada,https://potshops.ca/listing/clone-corner/,0,5,0,79.8
clones for sale bc,https://potshops.ca/listing/clone-corner/,0,3,0,62.333333333333336
